quote,author,category
You could do a lot worse.,"Suzanne Collins, Catching Fire",inspirational
"Always be yourself, there's no one better!",Selena Gómez,inspirational
"Come friends, it's not too late to seek a newer world.",Alfred Tennyson,"advice, encouragement, hope, inspirational"
Everything you want is on the other side of fear.,Jack Canfield,"fear, inspirational"
Never stop. Never stop fighting. Never stop dreaming.,Tom Hiddleston,"inspirational, tom-hiddleston"
Someday is now.,Gaddy Bergmann,inspirational
An idea is salvation by imagination,Frank Lloyd Wright,"art, imagination, inspirational"
It's your life-but only if you make it so.,"Eleanor Roosevelt, You Learn by Living: Eleven Keys for a More Fulfilling Life",inspirational
Everything that is done in this world is done by hope.,Martin Luther,"hope, inspirational"
What hurts us is what heals us,"Paulo Coelho, Aleph",inspirational
"Whatsoever a man soweth, that shall he also reap.","Anonymous, Holy Bible: King James Version","bible, god, inspirational, truth"
God save us from religion.,David Eddings,"inspirational, organized-religion, savior"
Always tell what you feel. Do what you think...,Gabriel García Márquez,inspirational
[BURR]I am the one thing in life I can control.,"Lin-Manuel Miranda, Hamilton: The Revolution","hamilton, inspirational, musicals"
Its more fun to think of the future than dwell on the past.,"Sara Shepard, Unbelievable","future, inspirational, past"
No great wisdom can be reached without sacrifice.,"C.S. Lewis, The Magician's Nephew",inspirational
The function of freedom is to free someone else.,Toni Morrison,"inspirational, responsibility"
People would rather believe than know.,Edward O. Wilson,"activism, animals, environment, inspirational"
Smile at strangers and you just might change a life.,Steve Maraboli,"change-a-life, compassion, inspirational, smile, strangers"
Every moment of light and dark is a miracle.,Walt Whitman,"inspirational, wonder"
No one is ever satisfied where he is.,"Antoine de Saint-Exupéry, The Little Prince",inspirational
Nobody steals books but your friends.,"Roger Zelazny, The Guns of Avalon","books, friendship, inspirational, irony, stealing"
Complain and remain. Praise and be raised.,Joyce Meyer,inspirational
With our thoughts we make the world.,Gautama Buddha,inspirational
You can only be afraid of what you think you know.,Jiddu Krishnamurti,"fear, inspirational, knowledge"
Make today worth remembering.,Zig Ziglar,"inspirational, motivational"
If you are a dreamer come in,Shel Silverstein,inspirational
"I am so, so alive.","Maggie Stiefvater, The Scorpio Races","inspirational, the-scorpio-races"
It's easy to forget things you don't need anymore.,"Haruki Murakami, Kafka on the Shore",inspirational
"If you surrendered to the air, you could ride it.","Toni Morrison, Song of Solomon",inspirational
Achievement has no color,Abraham Lincoln,"achievement, inspirational, racism"
Tolerance of intolerance is cowardice.,Ayaan Hirsi Ali,"cowardice, inspirational, intolerance, tolerance"
Light a candle instead of cursing the darkness.,"Eleanor Roosevelt, This is My Story",inspirational
"To write is human, to edit is divine.","Stephen King, On Writing: A Memoir of the Craft",inspirational
I'm the living embodiment of 'it could be worse'.,Dan Howell,"amazing, danisnotonfire, goals, inspirational, it-could-be-worse, youtube"
Get comfortable with being uncomfortable!,Jillian Michaels,"determination, exercise, fitness, inspirational, life-lessons"
"If people reach perfection they vanish, you know.","T.H. White, The Once and Future King","human, inspirational, people, perfection"
Great victory requires great risk.-Hera,"Rick Riordan, The Lost Hero","inspirational, victory"
"Go on, get out! Last words are for fools who haven't said enough!",Karl Marx,"humor, inspirational, last-words"
It is much easier to be brave if you do not know everything.,Lois Lowry,inspirational
Kemampuan membaca itu sebuah rahmat. Kegemaran membaca, sebuah kebahagiaan.,Goenawan Mohamad
It is not enough to be industrious, so are the ants. What are you industrious about?,"Henry David Thoreau, Letters to Various Persons"
Give your weakness to one who helps.,Jalaluddin Rumi,"compassion, inspirational"
Every window in Alcatraz has a view of San Francisco. ,"Susanna Kaysen, Girl, Interrupted",inspirational
Live boldly. Push yourself. Don't settle.,"Jojo Moyes, Me Before You","inspirational, motivational"
"You don't know, oh, ohYou don't know you're beautiful.",One Direction,"inspirational, one-direction, song-lyrics, what-makes-you-beautiful"
It is harder to crack prejudice than an atom.,Albert Einstein,"humor, inspirational, science"
Sometimes to self-discover you must self-destruct.,Robert M. Drake,"happyquotes, hope, inspirational, inspirationalquotes, inspired, instadaily, instaquote, lovequotes, pinquotes, poems, poetry, quote, quoteoftheday, quotes, relationships, rmdrake, sadquotes, sayings, spokenword, tattoo, typewriter, vsco, writer, writing"
"that as long as we are being remembered, we remain alive.",Carlos Ruiz Zafón,"inspirational, truth"
There is no failure except in no longer trying.,Elbert Hubbard,"failure, giving-up, inspirational, success"
"Argue for your limitations and, sure enough, they're yours.",Richard Bach,"inspirational, spiritual"
Love your life. Because your life is what you have to give.,Tom Hiddleston,inspirational
Everything you'll ever need to know is within you, the secrets of the universe are imprinted on the cells of your body.,"Dan Millman, Way of the Peaceful Warrior: A Book That Changes Lives"
"Miracles do not, in fact, break the laws of nature.","C.S. Lewis, Miracles",inspirational
The treacherous are ever distrustful.,"J.R.R. Tolkien, The Two Towers","fantasy, gandalf, inspirational, philosophy, truth"
A winner is a dreamer who never gives up,Nelson Mandela,inspirational
"Talent is a gift, but character is a choice.",John C. Maxwell,"character, inspirational, talent"
"Ends are for yesterday, not tomorrows.","Mitch Albom, The Time Keeper",inspirational
There is no such thing as a child who hates to read, there are only children who have not found the right book.,Frank Serafini
be it peace or happinesslet it enfold you,Charles Bukowski,"inspirational, poem"
"Sometimes small things can become very large, indeed.",Rick Riordan,inspirational
Happiness is a choice that requires effort at times.,Aeschylus,"happiness, inspirational"
"Heaven is comfort, but it's still not living.","Alice Sebold, The Lovely Bones","family, haunting, imaginative, inspirational, murder, personal-growth, rape"
We are what we believe we are!,C.S. Lewis,"amazing, bright, inspirational, truth"
A tamed woman will never leave her mark in the world.,Robert M. Drake,"happyquotes, hope, inspirational, inspirationalquotes, inspired, instadaily, instaquote, lovequotes, pinquotes, poems, poetry, quote, quoteoftheday, quotes, relationships, rmdrake, sadquotes, sayings, spokenword, tattoo, typewriter, vsco, writer, writing"
Freedom is...the right to write the wrong words.,Patti Smith,"freedom, inspirational, words"
"If they give you ruled paper, write the other way.",Juan Ramón Jiménez,inspirational
Forgive yourself before you die. Then forgive others.,"Mitch Albom, Tuesdays with Morrie",inspirational
"know what you want, work to get it, then value it once you have it.","Nora Roberts, Morrigan's Cross","goals, inspirational, proactivity"
Perfect is the enemy of good.,Voltaire,"inspirational, misattributed-to-jim-collins, work-ethic"
"Status quo, you know, is Latin for 'the mess we're in'.",Ronald Reagan,"inspirational, latin, politics"
Only when I fall do I get up again.,Vincent van Gogh,inspirational
"Where your treasure is, there will your heart be also","J.K. Rowling, Harry Potter and the Deathly Hallows",inspirational
When they say the sky's the limit to me that's really true,Michael  Jackson,"confidence, dreaming, inspirational, musician, wisdom"
"Death twitches my ear;'Live,' he says... 'I'm coming.",Virgil,"carpe-diem, creepy, death, death-and-dying, inspirational, living, philosophical, philosophy, seize-the-day"
I am not afraid... I was born to do this.,Jeanne d'Arc,inspirational
"We all can be only who we are, no more, no less.","Terry Goodkind, Stone of Tears","inspirational, kahlan, philosophical"
Whatever you see you gotta keep a sense of humor, you gotta be able to smile through all the bullshit.,Tupac Shakur
Boredom can be a lethal thing on a small island.,"Christopher Moore, Island of the Sequined Love Nun","boredom, crazy, funny, inspirational"
90% of the game is half mental.,"Yogi Berra, The Yogi Book : I Really Didn't Say Everything I Said","inspirational, math-humor"
"They alone live, who live for others.",Swami Vivekananda,inspirational
God helps those who strut their stuff.,"Dan Sofer, A Love and Beyond","humor, humor-inspirational, inspirational, life-philosophy, motivational"
Most people die with their music still locked up inside them.,Benjamin Disraeli,"inspirational, music"
Hard work beats talent when talent fails to work hard.,Kevin Durant,"hard-work, inspirational, kevin-durant, talent"
Death comes to us all, we can only choose how to face it when it comes.,"Robert Jordan, The Dragon Reborn"
The shell must break before the bird can fly.,Alfred Tennyson,inspirational
The best kind of humans are the ones who stay.,Robert M. Drake,"happyquotes, hope, inspirational, inspirationalquotes, inspired, instadaily, instaquote, lovequotes, pinquotes, poems, poetry, quote, quoteoftheday, quotes, relationships, rmdrake, sadquotes, sayings, spokenword, tattoo, typewriter, vsco, writer, writing"
I never saw a wild thing sorry for itself,D.H. Lawrence,inspirational
"We have to pray with our eyes on God, not on the difficulties.",Oswald Chambers,"inspirational, prayer"
"May my heart be kind, my mind fierce, and my spirit brave.","Kate Forsyth, The Witches of Eileanan","author, fantasy, inspirational"
Never give a sword to a man who can't dance.,"Confucius, The Analects","clumsiness, grace, inspirational"
Arrange whatever pieces come your way.,Virginia Woolf,inspirational
Aslan: You doubt your value. Don't run from who you are.,"C.S. Lewis, Prince Caspian","aslan, inspirational, lion"
"Let's start a new tomorrow, today.","Neil Gaiman, Anansi Boys",inspirational
the purpose of life is the life of purpose,"Robin S. Sharma, The Monk Who Sold His Ferrari",inspirational
Your opinion is not my reality.,"Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience","inspirational, motivational, opinion, reality"
